"chemical.id","bottle.id","conc","plate.id","well","date","MO24","DP24","SM24","MORT","CRAN","AXIS","EDEM","MUSC","LTRK","BRN_","SKIN","NC__","TCHR","DNC_"
725,"C331561","0.14","21511","B08","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","0.14","21511","C08","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","0.14","21511","D08","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","0.14","21511","E08","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","0.14","21511","F08","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","0.14","21511","G08","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","0.14","21511","H08","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","0.14","21528","B08","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","0.14","21528","C08","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","0.14","21528","D08","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","0.14","21528","E08","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","0.14","21528","F08","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","0.14","21528","G08","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","0.14","21528","H08","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","0.41","21511","B07","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","0.41","21511","C07","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","0.41","21511","D07","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","0.41","21511","E07","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","0.41","21511","F07","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","0.41","21511","G07","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","0.41","21511","H07","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","0.41","21528","B07","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","0.41","21528","C07","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","0.41","21528","D07","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","0.41","21528","E07","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","0.41","21528","F07","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","0.41","21528","G07","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","0.41","21528","H07","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","1.23","21511","B06","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","1.23","21511","C06","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","1.23","21511","D06","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","1.23","21511","E06","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","1.23","21511","F06","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","1.23","21511","G06","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","1.23","21511","H06","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","1.23","21528","B06","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","1.23","21528","C06","20201021",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
725,"C331561","1.23","21528","D06","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","1.23","21528","E06","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","1.23","21528","F06","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","1.23","21528","G06","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","1.23","21528","H06","20201021",0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
725,"C331561","3.7","21511","B05","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","3.7","21511","C05","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","3.7","21511","D05","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","3.7","21511","E05","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","3.7","21511","F05","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","3.7","21511","G05","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","3.7","21511","H05","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","3.7","21528","B05","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","3.7","21528","C05","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","3.7","21528","D05","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","3.7","21528","E05","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","3.7","21528","F05","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","3.7","21528","G05","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","3.7","21528","H05","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","11.1","21511","B04","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","11.1","21511","C04","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","11.1","21511","D04","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","11.1","21511","E04","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","11.1","21511","F04","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
