"Chemical.ID","% concordance"
"C01171",50
"C05081",50
"C08880",50
"C10132",50
"C13497",50
"C13638",100
"C16631",100
"C17978",50
"C18632",50
"C23855",100
"C29091",0
"C29494",100
"C34993",100
"C35108",50
"C40915",100
"C42471",50
"C45712",50
"C49082",50
"C55524",0
"C57798",50
"C63690",50
"C64688",100
"C73039",0
"C76051",0
"C76461",50
"C77742",50
"C81313",50
"C81905",0
"C85807",50
"C85940",50
"C93901",50
"C97291",0
"C98689",100
