,,,,Morphology,,,,,,,,,,,,,,,,,,,,,,EPR,,,LPR,
Pams Chemical ID,Truong Chemical ID,Chemical.Name,Truong abbreviation,MO24,DP24,SM24,NC24,MORT,YSE_,AXIS,EYE_,SNOU,JAW_,OTIC,PE__,BRAI,SOMI,PFIN,CFIN,PIG_,CIRC,TRUN,SWIM,NC__,TR__,B,E,R,Light Phase 1,Dark Stimulation
C93901,C93901,Tetrabromobisphenol A-2-3-dibromopropyl ether [TBBPA-DBPE],TBBPA-DBPE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-
C97291,C97291,Mono (2-chloropropyl) phosphate [MCPP],MCPP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,0.64 (hypo)
C23373,C98689,Tris (2-chloroethyl) phosphate [TCEP],TCEP,-,-,-,-,0.0064,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0064 (hyper),,,-,64 (hypo)
C99762,C99762,Burka Metabolite,Burka Metabolite,,,,,,,,,,,,,,,,,,,,,,,,,,,
C00230,,Bis(1-3-dichloro-2-propyl)phosphate [BDCPP],BDCPP,,,,,,,,,,,,,,,,,,,,,,,,,,,
C76828,,Bisphenol A bis-(diphenyl phosphate) [ BDP],BDP,,,,,,,,,,,,,,,,,,,,,,,,,,,
C75945,,Resorcinol A bis-(diphenyl phosphate) [RDP],,,,,,,,,,,,,,,,,,,,,,,,,,,,
C21649,,Mono isopropylated triaryl phosphate [mITP],,,,,,,,,,,,,,,,,,,,,,,,,,,,
C20425,,Decabromodiphenyl ether [BDE-209],,,,,,,,,,,,,,,,,,,,,,,,,,,,
C18862,,6-hydroxy-2-2â€™4-4â€™-tetraBDE [6-OH-BDE-47],,,,,,,,,,,,,,,,,,,,,,,,,,,,
C72955,,5-hydroxy-2-2â€™4-4â€™-tetraBDE [5-OH-BDE-47],,,,,,,,,,,,,,,,,,,,,,,,,,,,
C55615,,3-hydroxy-2-2â€™4-4â€™-tetraBDE [3-OH-BDE-47],,,,,,,,,,,,,,,,,,,,,,,,,,,,
C35257,,2-ethylhexyltetrabromobenzoate [TBB],,,,,,,,,,,,,,,,,,,,,,,,,,,,
C92149,,2-2?-4-4?-6-pentabromodiphenyl ether [BDE-100],,,,,,,,,,,,,,,,,,,,,,,,,,,,
